,name,city,country,iata_code,latitude,longitude,links_count
0,Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,33.636719,-84.428067,1826
1,Chicago Ohare Intl,Chicago,United States,ORD,41.978603,-87.904842,1108
2,Capital Intl,Beijing,China,PEK,40.080111,116.584556,1069
3,Heathrow,London,United Kingdom,LHR,51.4775,-0.461389,1051
4,Charles De Gaulle,Paris,France,CDG,49.012779,2.55,1041
5,Los Angeles Intl,Los Angeles,United States,LAX,33.942536,-118.408075,990
6,Frankfurt Main,Frankfurt,Germany,FRA,50.026421,8.543125,990
7,Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,32.896828,-97.037997,936
8,John F Kennedy Intl,New York,United States,JFK,40.639751,-73.778925,911
9,Schiphol,Amsterdam,Netherlands,AMS,52.308613,4.763889,903
10,Pudong,Shanghai,China,PVG,31.143378,121.805214,825
11,Changi Intl,Singapore,Singapore,SIN,1.3501889999999999,103.994433,820
12,Barcelona,Barcelona,Spain,BCN,41.297078,2.078464,783
13,Incheon Intl,Seoul,South Korea,ICN,37.469075,126.450517,740
14,Denver Intl,Denver,United States,DEN,39.861655999999996,-104.673178,735
15,Miami Intl,Miami,United States,MIA,25.79325,-80.290556,734
16,Franz Josef Strauss,Munich,Germany,MUC,48.353783,11.786086,728
17,Ataturk,Istanbul,Turkey,IST,40.976922,28.814606,719
18,Hong Kong Intl,Hong Kong,Hong Kong,HKG,22.308919,113.914603,710
19,Dubai Intl,Dubai,United Arab Emirates,DXB,25.252778,55.364444,710
20,Gatwick,London,United Kingdom,LGW,51.148056,-0.190278,708
21,Baiyun Intl,Guangzhou,China,CAN,23.392436,113.298786,674
22,Fiumicino,Rome,Italy,FCO,41.804475,12.250797,662
23,Barajas,Madrid,Spain,MAD,40.493556,-3.566764,661
24,Suvarnabhumi Intl,Bangkok,Thailand,BKK,13.681108,100.747283,656
25,Domododevo,Moscow,Russia,DME,55.408611,37.906111,649
26,Shuangliu,Chengdu,China,CTU,30.578528,103.947086,647
27,Lester B Pearson Intl,Toronto,Canada,YYZ,43.677223,-79.630556,636
28,Brussels Natl,Brussels,Belgium,BRU,50.901389,4.484444,631
29,Manchester,Manchester,United Kingdom,MAN,53.353744,-2.27495,627
30,Schwechat,Vienna,Austria,VIE,48.110278,16.569722,616
31,Charlotte Douglas Intl,Charlotte,United States,CLT,35.214,-80.943139,600
32,Philadelphia Intl,Philadelphia,United States,PHL,39.871944,-75.241139,576
33,Narita Intl,Tokyo,Japan,NRT,35.764722,140.386389,575
34,Dusseldorf,Duesseldorf,Germany,DUS,51.289453,6.766775,570
35,Xianyang,Xi'an,China,XIY,34.447119,108.751592,563
36,Son Sant Joan,Palma de Mallorca,Spain,PMI,39.55361,2.727778,548
37,Wujiaba,Kunming,China,KMG,24.992364,102.743536,545
38,Jiangbei,Chongqing,China,CKG,29.719217,106.641678,540
39,Indira Gandhi Intl,Delhi,India,DEL,28.5665,77.103088,527
40,Taoyuan Intl,Taipei,Taiwan,TPE,25.077731,121.232822,527
41,Kuala Lumpur Intl,Kuala Lumpur,Malaysia,KUL,2.745578,101.709917,514
42,Phoenix Sky Harbor Intl,Phoenix,United States,PHX,33.434278,-112.011583,508
43,Xiaoshan,Hangzhou,China,HGH,30.229503,120.434453,506
44,Newark Liberty Intl,Newark,United States,EWR,40.6925,-74.168667,505
45,San Francisco Intl,San Francisco,United States,SFO,37.618972,-122.374889,499
46,Mc Carran Intl,Las Vegas,United States,LAS,36.080056,-115.15225,498
47,Zurich,Zurich,Switzerland,ZRH,47.464722,8.549167,494
