,Unnamed: 0,name,city,country,iata_code,latitude,longitude,links_count
0,0,Hartsfield Jackson Atlanta Intl,Atlanta,Estados Unidos,ATL,33.636719,-84.428067,1826
1,1,Chicago Ohare Intl,Chicago,Estados Unidos,ORD,41.978603,-87.904842,1108
2,2,Capital Intl,Pequim,China,PEK,40.080111,116.584556,1069
3,3,Heathrow,Londres,Reino Unido,LHR,51.4775,-0.461389,1051
4,4,Charles De Gaulle,Paris,França,CDG,49.012779,2.55,1041
5,5,Los Angeles Intl,Los Angeles,Estados Unidos,LAX,33.942536,-118.408075,990
6,6,Frankfurt Main,Francoforte,Alemanha,FRA,50.026421,8.543125,990
7,7,Dallas Fort Worth Intl,Dallas-Fort Worth,Estados Unidos,DFW,32.896828,-97.037997,936
8,8,John F Kennedy Intl,Nova Iorque,Estados Unidos,JFK,40.639751,-73.778925,911
9,9,Schiphol,Amsterdã,Holanda,AMS,52.308613,4.763889,903
10,10,Pudong,Xangai,China,PVG,31.143378,121.805214,825
11,11,Changi Intl,Cingapura,Cingapura,SIN,1.350189,103.994433,820
12,12,Barcelona,Barcelona,Espanha,BCN,41.297078,2.078464,783
13,13,Incheon Intl,Seul,Coreia do Sul,ICN,37.469075,126.450517,740
14,14,Denver Intl,Denver,Estados Unidos,DEN,39.861656,-104.673178,735
15,15,Miami Intl,Miami,Estados Unidos,MIA,25.79325,-80.290556,734
16,16,Franz Josef Strauss,Munique,Alemanha,MUC,48.353783,11.786086,728
17,17,Ataturk,Istambul,Peru,IST,40.976922,28.814606,719
18,18,Hong Kong Intl,Hong Kong,Hong Kong,HKG,22.308919,113.914603,710
19,19,Dubai Intl,Dubai,Emirados Árabes Unidos,DXB,25.252778,55.364444,710
20,20,Gatwick,Londres,Reino Unido,LGW,51.148056,-0.190278,708
21,21,Baiyun Intl,Cantão,China,CAN,23.392436,113.298786,674
22,22,Fiumicino,Roma,Itália,FCO,41.804475,12.250797,662
23,23,Barajas,Madri,Espanha,MAD,40.493556,-3.566764,661
24,24,Suvarnabhumi Intl,Bangkok,Tailândia,BKK,13.681108,100.747283,656
25,25,Domododevo,Moscou,Rússia,DME,55.408611,37.906111,649
26,26,Shuangliu,Chengdu,China,CTU,30.578528,103.947086,647
27,27,Lester B Pearson Intl,Toronto,Canadá,YYZ,43.677223,-79.630556,636
28,28,Brussels Natl,Bruxelas,Bélgica,BRU,50.901389,4.484444,631
29,29,Manchester,Manchester,Reino Unido,MAN,53.353744,-2.27495,627
30,30,Schwechat,Viena,Áustria,VIE,48.110278,16.569722,616
31,31,Charlotte Douglas Intl,Charlotte,Estados Unidos,CLT,35.214,-80.943139,600
32,32,Philadelphia Intl,Filadélfia,Estados Unidos,PHL,39.871944,-75.241139,576
33,33,Narita Intl,Tóquio,Japão,NRT,35.764722,140.386389,575
34,34,Dusseldorf,Düsseldorf,Alemanha,DUS,51.289453,6.766775,570
35,35,Xianyang,Xian,China,XIY,34.447119,108.751592,563
36,36,Son Sant Joan,Palma de Maiorca,Espanha,PMI,39.55361,2.727778,548
37,37,Wujiaba,Kunming,China,KMG,24.992364,102.743536,545
